Name,Description,Icon
So popular,You get this award if you have a confession with a score of 100 or more!,🏆
Chatty,You unlock this for creating a comment with a score of more than 50!,🥂
So hot,Awarded for the rare accomplishment of having one of your confessions featured on the Daily Hottest.,🔥
Expressive,Awarded for posting a confession with more than 10 different emojis.,🎭
Expressionless,Awarded for posting a confession with more than 5000 characters with no emojis.,😐
Old fart, You created your account back in 2023.,💨
